詞語	吳拼
達悟族	
達拉斯	
達拉特	
達拉特旗	
達斡爾	
達斡爾族	
達斡爾語	
達日	
達日縣	
達朗貝爾	
達爾	
達爾主義	
達爾富爾	
達爾文	
達爾文主義	
達爾文學說	
達爾文港	
達爾福爾	
達爾罕茂明安聯合旗	
達特茅斯學院	
達生	
達累斯薩拉姆	
達茂旗	
達蘭薩拉	
達達尼爾海峽	
達魯花赤	
違和	
違忤	
違法行爲	
違紀參選	
違約責任	
違背	
違規人	
違規行爲	
違誤	
遙望	
遙遙在望	
遙遙無期	
遙遙相望	
遛鳥	
遜於	
遞上去	
遞了	
遞交	
遞傳	
遞出去	
遞加	
遞回去	
遞解	
遞解出境	
遞過去	
遞降	
遠交近攻	
遠人	
遠傳	
遠去	
遠大	
遠大理想	
遠山近水	
遠從	
遠於	
遠日點	
遠望	
遠未	
遠未解決	
遠東國家	
遠東技術學院	
遠東科技大學	
遠水	
遠水不解近渴	
遠水救不了近火	
遠水解不了近渴	
遠程教育	
遠自	
遠行	
遠距圖書服務系統	
遠近皆知	
遠近馳名	
遣下去	
遣懷	
適人	
適任	
適合於	
適合自己	
適從	
適於	
適材適用	
適用於	
適用範圍	
適當範圍	
適者生存	
適間	
遭人	
遭人暗算	
遭人算計	
遭遇戰	
遮上去	
遮不了	
遮人	
遮人耳目	
遮天蔽日	
遮太陽	
遮架	
遮目魚	
遮蓋着	
遮蔽着	
遯世	
遲了	
遲交	
遲來	
遲到	
遲到早退	
遲回觀望	
遲延	
遲慢	
遲早	
遲早是	
遲早會	
遲暮	
遲浩田	
遲滯	
遲滯不前	
遲演	
遲疑	
遲疑不前	
遲疑不決	
遲發性損傷	
遲緩	
遲誤	
遲迴	
遲遲	
遲鈍	
遲頓	
遵從	
遵行	
遷了	
遷出去	
遷去	
遷回去	
遷就於	
遷延時日	
遷怒於	
遷怒於人	
遷於	
遷進去	
遷過去	
選上去	
選人	
選任	
選個	
選務	
選務工作	
選去	
選單	
選戰	
選揀	
選擇率	
選擇範圍	
選材	
選罷法	
選美大會	
選自	
選舉事務	
選舉事務所	
選舉人	
選舉人團	
選舉日	
選舉產生	
選舉罷免	
選舉罷免法	
選萃	
選讀生	
選賢任能	
選集	
遺世獨立	
遺傳	
遺傳信息	
遺傳學	
遺傳學家	
遺傳工程	
遺傳性	
遺傳性疾病	
遺傳物質	
遺傳病	
遺傳算法	
遺尿	
遺忘	
遺忘症	
遺愛人間	
遺憾終生	
遺教	
遺留問題	
遺著	
遼北省	
遼太后	
遼寧古盜鳥	
遼寧大學	
遼寧師範大學	
遼寧省	
避世	
避世絕俗	
避了	
避人耳目	
避着	
避震	
邀集	
邁了	
邁克爾	
邁克爾傑克遜	
邁克爾克萊頓	
邁克爾喬丹	
邁着	
邁過去	
邁阿密	
邁阿密海灘	
邁阿密灘	
還上	
還上來	
還上去	
還下	
還下來	
還下到	
還下去	
還不	
還不出	
還不在	
還不如	
還不是	
還不會	
還不知道	
還不能	
還不行	
還了	
還了得	
還以	
還佔	
還你	
還來	
還來到	
還修	
還倒	
還值	
還債	
還像	
還先	
還再	
還出	
還出來	
還出去	
還到	
還剛	
還剩	
還加	
還原	
還原作用	
還原劑	
還原成	
還原染料	
還原法	
還原熔煉	
還去	
還受	
還受到	
還口	
還只是	
還只有	
還叫	
還可	
還可以	
還可在	
還可能	
還向	
還吞	
還吵	
還吸	
還和	
還咬	
還哭	
還唱	
還問	
還喊	
還嘴	
還回	
還回來	
還回到	
還回去	
還在	
還報	
還多	
還夠	
還夠用	
還大	
還太	
還套	
還好嗎	
還好在	
還好是	
還嫌	
還守	
還封	
還射	
還將	
還對	
還小	
還少	
還差	
還師	
還席	
還帳	
還帶	
還常	
還常常	
還平	
還彈	
還往	
還很	
還得	
還得起	
還從	
還快	
還怕	
還怪	
還恨	
還情	
還想	
還應	
還應該	
還我	
還我河山	
還戴	
還手	
還找	
還抄	
還把	
還指	
還挺	
還掃	
還排	
還採	
還提	
還搖	
還撕	
還擊	
還收	
還放	
還政	
還政於民	
還教	
還敢	
還於	
還早	
還是	
還是在	
還是很	
還是會	
還是沒有	
還是用	
還是能	
還是要	
還書	
還替	
還會	
還會在	
還會是	
還會有	
還有一些	
還有什麼	
還有很多	
還有沒有	
還有誰	
還望	
還未	
還本	
還款	
還沒	
還沒在	
還沒有	
還治其人之身	
還洗	
還派	
還淳反樸	
還淳返樸	
還清	
還炒	
還無	
還爲	
還猜	
還玩	
還用	
還用在	
還用於	
還用說	
還由	
還痛	
還發	
還看	
還看到	
還真	
還真好	
還真是	
還真有	
還真難	
還着	
還睡	
還睡到	
還知道	
還硬	
還禮	
還穿	
還笑	
還算	
還算在	
還算是	
還管	
還給	
還給到	
還編	
還縫	
還織	
還罰	
還罵	
還背	
還能	
還能在	
還能夠	
還能有	
還自	
還與	
還苦	
還行	
還行得通	
還衝	
還被	
還要	
還討	
還記得我	
還設	
還說	
還說在	
還說是	
還說有	
還調	
還談	
還請	
還講	
還變	
還讓	
還讓出	
還讓到	
還貴	
還貸	
還賜	
還賬	
還贏	
還起來	
還跟	
還跟到	
還跟在	
還跟着	
還載	
還辟	
還通	
還過	
還過來	
還過去	
還過得	
還過得去	
還遠	
還都	
還都不	
還都在	
還都是	
還鄉	
還鄉團	
還酸	
還錢	
還長	
還闖	
還關	
還防	
還陽	
還需	
還須	
還願	
還願意	
還養	
還高	
還魂	
還魂紙	
邊個	
邊境貿易	
邊材	
邊界問題	
邊緣科學	
邊長	
邊間	
邊防	
邊防站	
邊防要塞	
邊防警察	
邊防軍	
邏輯學	
邏輯炸彈	
邏輯錯誤	
邑人	
邙山行	
那一瞬間	
那世	
那也	
那也是	
那些人	
那人	
那個	
那個人	
那個地方	
那個女人	
那個女孩	
那個時候	
那個月	
那個男人	
那傢伙	
那夥人	
那女人	
那家	
那幾個	
那拉提草原	
那日	
那種人	
那種感覺	
那羣人	
那行	
那該	
那還	
那間	
那集	
那頂	
那麼大	
那麼着	
邦交	
邦交國	
邦交正常化	
邦家	
邪世	
邪乎	
邪妄	
邪教	
邪行	
邪鬼	
邯山	
邯山區	
邯鄲	
邯鄲地區	
邯鄲學步	
邯鄲市	
邯鄲縣	
邱吉爾	
郎世寧	
郎個	
郢人	
部主任	
部分	
部分值	
部分內容	
部分地區	
部分組成	
部從	
部會首長	
部部長	
部長	
部長會	
部長會議	
部長級	
部長級會議	
部隊長	
郭嘉	
郭子乾	
郭永懷	
郭沫若	
郭茂倩	
郵傳部	
郵務	
郵展	
郵差	
郵戳日期	
郵政局長	
郵集	
都上去	
都下去	
都伯林	
都出去	
都卜勒	
都去	
都受了	
都回去	
都安瑤族自治縣	
都市人口	
都市傳奇	
都應該	
都拉斯	
都拿	
都於	
都會傳奇	
都有自己	
都未	
都沒	
都沒有	
都無	
都行	
都被	
都還	
都還不	
都還沒	
都鐸王朝	
鄂倫春自治旗	
鄂溫克族自治旗	
鄂爾多斯	
鄂爾多斯市	
鄂爾多斯沙漠	
鄂爾多斯高原	
鄉人	
鄉人子	
鄉味	
鄉土味	
鄉土文學	
鄉村奶酪	
鄉村音樂	
鄉裏人	
鄉里小人	
鄉鎮長	
鄉長	
鄉間	
鄉間別墅	
鄉音未改鬢毛衰	
鄙人	
鄙賤	
鄧世昌	
鄧加	
鄧茂七	
鄭和	
鄭國渠	
鄭夢準	
鄭家鐘	
鄭州大學	
鄭易里	
鄰人	
鄰家	
鄰居家	
鄰水	
鄰水縣	
鄰里長	
鄰長	
酉牌時分	
酉陽土家族苗族自治縣	
酋長	
酋長制度	
酋長國	
酌加	
配上去	
配了	
配分	
配合着	
配戴	
配樂	
配樂師	
配水幹管	
配水系統	
配着	
配送範圍	
酒乾了	
酒乾掉	
酒乾盡	
酒吧	
酒吧女	
酒吧裏	
酒吧間	
酒味	
酒單	
酒家女	
酒已乾	
酒架	
酒櫃	
酒氣熏人	
酒水飲料	
酒池肉林	
酒渣鼻	
酒癮	
酒窖	
酒糟鼻	
酒酣耳熱	
酒鬼	
酚醛塑料	
酚醛塑膠	
酚醛膠	
酣夢	
酣戰	
酣樂	
酩酊大醉	
酬償	
酬和	
酵子	
酵母	
酵母菌	
酵母醇	
酵粉	
酵素	
酵解	
酵解作用	
酷妹	
酷斃了	
酷斯拉	
酸不溜丟	
酸味	
酸奶	
酸奶節	
酸溜溜	
酸牛奶	
酸鼻	
醃魚	
醃魚肉	
醇和	
醉了	
醉人	
醉心於	
醉於	
醉生夢死	
醉鬼	
醋大	
醋海生波	
醍醐灌頂	
醒世	
醒世名言	
醒世姻緣	
醒世恆言	
醒世箴言	
醒吾	
醒吾商專	
醒吾技術學院	
醒悟	
醒着	
醒覺	
醒豁	
醜人	
醜人多作怪	
醜女人	
醜奴兒	
醜小鴨	
醜斃了	
醜於	
醜死	
醜生	
醜行	
醜雜	
醞釀着	
醫事職業學校	
醫務	
醫務人員	
醫務兵	
醫務室	
醫務所	
醫卜	
醫卜星相	
醫大	
醫學	
醫學中心	
醫學博士	
醫學史	
醫學士	
醫學家	
醫學專家	
醫學檢驗	
醫學檢驗師	
醫學界	
醫學系	
醫學院	
醫家	
醫療服務	
醫療衛生	
醫科大學	
醫科學校	
醫藥分業	
醫藥分離	
醫藥學	
醫藥行業	
醫藥衛生	
醫護人員	
醬鴨	
釀造學	
采石之戰	
釋去重負	
釋夢	
釋懷	
釋教	
里人	
里仁	
里仁爲美	
里克爾梅	
里加	
里弗賽德	
里拉	
里昂	
里昂市	
里昂隊	
里氏震級	
里民大會	
里爾	
里爾隊	
里瓦爾多	
里維拉	
里耳	
里茲	
里賈納	
里長	
里長伯	
重人	
重任	
重力加速	
重力加速度	
重圍	
重塑	
重大	
重大事件	
重大事故	
重大事項	
重大問題	
重大影響	
重大意義	
重大新聞	
重大決策	
重大突破	
重大貢獻	
重大過失	
重大項目	
重學	
重建家園	
重慶大學	
重慶師範大學	
重慶科技學院	
重整家園	
重新做人	
重新加熱	
重新認識	
重於	
重於泰山	
重望	
重水	
重水反應堆	
重水生產	
重沓	
重溫舊夢	
重生	
重生父母	
重申	
重申立場	
重申觀點	
重睹天日	
重考生	
重耳	
重行	
重要任務	
重要問題	
重見天日	
重視教育	
重責大任	
重貼現率	
重蹈覆轍	
重轟炸機	
重重包圍	
重重圍住	
重量單	
重量單位	
重錘	
重點中學	
重點大學	
野人	
野人族	
野人獻曝	
野叟曝言	
野味	
野味十足	
野外求生	
野心人士	
野心家	
野性未脫	
野戰	
野戰軍	
野戰部隊	
野戰醫院	
野無遺才	
野牛	
野牛羣	
野生	
野生動植物園	
野生動物	
野生動物園	
野生植物	
野生生物	
野生生物基金會	
野生貓	
野芋	
野蠻	
野蠻人	
野調無腔	
野雁	
野雞大學	
野顛茄	
野驢	
野鳥	
野鳥羣	
量了	
量力而行	
量大	
量子力學	
量子學說	
量子色動力學	
量子電動力學	
量材錄用	
量着	
量過去	
金人	
金人緘口	
金伯利岩	
金冠戴菊	
金剛不壞之身	
金剛總持	
金剛頂經	
金吾	
金和	
金城湯池	
金大中	
金太宗	
金太祖	
金家莊	
金家莊區	
金屬加工	
金屬材料	
金日成	
金星人	
金曜日	
金朝	
金木水火土	
金槍魚	
金櫃	
金正日	
金水	
金水區	
金波	
金波玉液	
金烏西墜	
金無足赤	
金牌	
金牌得主	
金牌榜	
金牌獎	
金牛	
金牛區	
金牛座	
金甌女子高級中學	
金甌無缺	
金甲	
金甲蟲	
金相學	
金石交	
金石學	
金石至交	
金石萃編	
金碧山水	
金秀瑤族自治縣	
金箍	
金箍棒	
金絲貓	
金絲雀	
金絲鳥	
金翅雀	
金茂	
金茂大廈	
金融學	
金融家	
金融寡頭	
金融服務	
金融行業	
金融衍生工具	
金融衍生產品	
金融赤字	
金融風波	
金貴	
金針度人	
金釵	
金釵十二	
金陵大學	
金雀花	
金魚佬	
金魚池	
金魚缸	
金魚藻	
金龜	
金龜婿	
金龜子	
金龜車	
釘上去	
釘下去	
釘了	
釘人	
釘個	
釘問	
釘死	
釘着	
釘進去	
釘過去	
釘錘	
釜中魚	
釜底游魚	
針對於	
針對着	
針梳機	
針狀	
針狀物	
針箍	
針魚	
針鼻	
釣上去	
釣了	
釣個	
釣去	
釣釣魚	
釣魚執法	
釣魚島	
釣魚式攻擊	
釣魚杆	
釣魚用具	
釣魚者	
釣魚臺	
釣魚臺列島	
釵雲	
鈍學累功	
鉅著	
鉅虧	
鉅防	
鉛酸蓄電池	
鉛錘	
鉤上去	
鉤下去	
鉤了	
鉤來鉤去	
鉤去	
鉤狀	
鉤過去	
銀櫃	
銀牌	
銀牌獎	
銀甲	
銀耳	
銀苔	
銀行	
銀行信用	
銀行借款	
銀行利息	
銀行券	
銀行卡	
銀行團	
銀行存摺	
銀行存款	
銀行家	
銀行業	
銀行業務	
銀行界	
銀行股	
銀行貸款	
銀行費用	
銀行資本	
銀行賬戶	
銀行賬號	
銀行間	
銀行體系資金	
銀釵	
銅人	
銅仁	
銅仁地區	
銅仁市	
銅牌	
銅管樂器	
銅管樂隊	
銅臭味	
銅錘	
銅雀臺	
銘傳商專	
銘傳大學	
銘傳女子商業專科學校	
銘傳管理學院	
銘牌	
銜尾相隨	
銜尾蛇	
銷了	
銷假	
銷去	
銷售人員	
銷售渠道	
銷行	
鋒芒太露	
鋤奸	
鋤強扶弱	
鋤犁	
鋤田	
鋤草	
鋤鏟	
鋪上去	
鋪下去	
鋪了	
鋪出去	
鋪家	
鋪展	
鋪展開	
鋪展開來	
鋪着	
鋪行	
鋰離子電池	
鋰電池	
鋸下	
鋸下來	
鋸下去	
鋸了	
鋸了嘴的葫蘆	
鋸出	
鋸切成	
鋸口	
鋸大缸	
鋸好	
鋸子	
鋸工	
鋸掉	
鋸斷	
鋸木	
鋸木屑	
鋸木廠	
鋸木架	
鋸木業	
鋸末	
鋸架	
鋸條	
鋸棕櫚	
鋸牀	
鋸片	
鋸牙鉤爪	
鋸琴	
鋸盆	
鋸直	
鋸碗	
鋸起來	
鋸過	
鋸過來	
鋸過去	
鋸鋸	
鋸錯	
鋸開	
鋸齒	
鋸齒形	
鋸齒狀	
鋼材	
鋼材價格	
鋼架	
鋼水	
鋼琴家	
鋼筋水泥	
鋼箍	
鋼絲鋸	
鋼鋸	
鋼鐵學院	
鋼鐵行業	
鋼鐵長城	
鋼骨水泥	
錄上去	
錄下去	
錄了	
錄個	
錄取人數	
錄取分數	
錄取名單	
錄取率	
錄着	
錄音間	
錄鬼簿	
錘子	
錘打	
錘鍊	
錘頭	
錘頭鯊	
錘骨	
錘骨柄	
錢學森	
錢櫃	
錢櫃雜誌	
錦綸	
錦繡大地	
錫伯	
錫伯族	
錫克教	
錫拉庫薩	
錫爾河	
錫蘭人	
錫金人	
錯上加錯	
錯不了	
錯了	
錯了又錯	
錯綜複雜	
錯覺	
錯覺作用	
錯覺結合	
錯解	
錯認	
錯誤	
錯誤信息	
錯誤率	
錯誤百出	
錯誤的結合	
錯過去	
錯雜	
錯雜在	
錶停	
錶行	
鍊墜	
鍊甲	
鍊錘	
鍋底朝天	
鍛錘	
鍵盤樂器	
鍼灸銅人	
鎖上去	
鎖吶	
鎖櫃	
鎧甲	
鎮上人	
鎮咳	
鎮定自若	
鎮寧布依族苗族自治縣	
鎮日	
鎮民大會	
鎮江人	
鎮長	
鏈傳動	
鏈鋸	
鏖戰	
鏖戰到底	
鏡中人	
鏡架	
鏡花水月	
鐘不敲不響	
鐘停	
鐘太	
鐘差	
鐘敲	
鐘樂	
鐘樓怪人	
鐘沒	
鐘行	
鐘被	
鐘錶停	
鐘錶行	
鐘頂	
鐘鼎之家	
鐘鼎人家	
鐮刀狀	
鐮狀	
鐮狀細胞血症	
鐵了心	
鐵人	
鐵人三項	
鐵人團	
鐵克人	
鐵手無情	
鐵板大鼓	
鐵板牛柳	
鐵板牛肉	
鐵板茄子	
鐵架	
鐵椅	
鐵櫃	
鐵水	
鐵爾梅茲	
鐵牛	
鐵甲	
鐵甲武士	
鐵甲船	
鐵甲艦	
鐵甲蟲	
鐵甲車	
鐵石人	
鐵箍	
鐵路局長	
鐵錘	
鐵雲藏龜	
鐵面無情	
鐵面無私	
鑄下大錯	
鑄人	
鑄成大錯	
鑑定人	
鑑於	
鑑真和尚	
鑑賞家	
鑲上去	
鑲了	
鑲着	
鑽個	
鑽個洞	
鑽入牛角尖	
鑽牛犄角	
鑽牛角	
鑽牛角尖	
鑽進去	
鑽過去	
鑿進去	
長一智	
長三角	
長三角經濟區	
長上	
長不大	
長世	
長久	
長久之計	
長久以來	
長了	
長亭	
長人	
長今	
長他人志氣滅自己威風	
長住	
長信	
長假	
長傳	
長兄	
長公	
長几	
長出	
長出來	
長刀	
長列	
長別	
長到	
長劍	
長勢	
長卷	
長史	
長吁	
長吁短嘆	
長吏	
長君之惡	
長命	
長命富貴	
長命百歲	
長命鎖	
長嘆	
長嘆一聲	
長嘯	
長圓	
長在	
長垣	
長垣縣	
長城	
長城卡	
長城飯店	
長壽	
長壽區	
長壽牌	
長壽菸	
長夏	
長夜	
長夜漫漫	
長夜難明	
長大成人	
長天	
長天老日	
長女	
長姊	
長媳	
長嫂如母	
長子	
長子的名份	
長子縣	
長存	
長孫	
長孫女	
長孫無忌	
長安	
長安人	
長安區	
長安福特	
長安街	
長官	
長寧	
長寧區	
長寧縣	
長寬	
長射程	
長尾	
長尾巴	
長尾猴	
長尾猿	
長局	
長山山脈	
長山島	
長島	
長島冰茶	
長島縣	
長崎	
長崎市	
長嶺	
長嶺縣	
長巷	
長干巷	
長干曲	
長平	
長平之戰	
長年累月	
長幼	
長幼有序	
長庚	
長庚大學	
長庚紀念醫院	
長庚醫院	
長度	
長度單位	
長廊	
長形	
長征	
長徑	
長得	
長德	
長性	
長恨	
長恨歌	
長惡不悛	
長憂	
長成	
長房	
長才	
長打	
長拳	
長挑	
長排	
長揖	
長效	
長效機制	
長方	
長方形	
長方體	
長於	
長明燈	
長春	
長春人	
長春市	
長春師範學院	
長時期	
長時間	
長曆	
長期	
長期以來	
長期使用	
長期借款	
長期共存	
長期性	
長期投資	
長期抗戰	
長期穩定性	
長期負債	
長期趨勢	
長板	
長板凳	
長林	
長林豐草	
長柄	
長柄勺子	
長柄大鐮刀	
長條	
長條圖	
長條形	
長棍	
長椅	
長榮	
長榮海運	
長榮航空	
長槍	
長樂	
長樂公主	
長樂市	
長樂未央	
長機	
長歌當哭	
長此下去	
長此以往	
長武	
長武縣	
長殤	
長毛	
長毛絨	
長毛象	
長汀	
長汀縣	
長江	
長江三峽	
長江三角	
長江三角洲	
長江三角洲經濟區	
長江口	
長江大橋	
長江後浪	
長江後浪推前浪	
長江流域	
長江證券	
長江電力	
長沙	
長沙人	
長沙市	
長沙灣	
長沙縣	
長河	
長治	
長治久安	
長治市	
長治縣	
長治鄉	
長法	
長波	
長泰	
長泰縣	
長洲區	
長活	
長流	
長海	
長海縣	
長清	
長清區	
長滿	
長漂	
長濱	
長濱鄉	
長灘	
長焦	
長煙	
長煙一空	
長牙	
長物	
長生	
長生不死	
長生不老	
長生久視	
長生殿	
長生祿位	
長生草	
長生藥	
長男	
長白	
長白山	
長白山地	
長白山天池	
長白朝鮮族自治縣	
長白縣	
長白鎮	
長的	
長相	
長相左右	
長相思	
長眠	
長眠不醒	
長着	
長矛	
長短	
長短不一	
長短不齊	
長短句	
長短詩	
長石	
長程	
長程計劃	
長程飛彈	
長空	
長笛	
長筒襪	
長筒襪子	
長筒靴	
長策	
長篇	
長篇大論	
長篇小說	
長篇累牘	
長篇連載	
長約	
長紅	
長統	
長統靴	
長絲	
長線	
長編	
長繩繫日	
長繩繫景	
長纓	
長老	
長老教會	
長老會	
長者	
長肉	
長胖	
長腿	
長膘	
長臂	
長臂猿	
長臉	
長至	
長興	
長興縣	
長舌	
長舌夫	
長舌婦	
長草區	
長葛	
長葛市	
長處	
長號	
長虹	
長蛇	
長蛇座	
長蛇陣	
長蟲	
長街	
長衣	
長袍	
長袍馬褂	
長袖	
長袖善舞	
長裙	
長褲	
長見識	
長親	
長角牛	
長角羊	
長計	
長詩	
長話	
長話短說	
長調	
長談	
長谷	
長谷川	
長豐	
長豐縣	
長起	
長起來	
長足	
長足性	
長足進步	
長跑	
長跑運動員	
長距離	
長距離比賽	
長跪	
長輩	
長轡遠馭	
長辛店	
長途	
長途旅行	
長途汽車	
長途話費	
長途跋涉	
長途車	
長途電話	
長途飛行	
長逝	
長進	
長過	
長達	
長遠利益	
長遠性	
長野	
長野縣	
長釘	
長針	
長釣	
長長	
長長地	
長長的	
長長短短	
長門	
長阪坡七進七出	
長陽	
長陽土家族自治縣	
長隊	
長電	
長青	
長青樹	
長靴	
長鞭	
長音	
長音程	
長音階	
長項	
長順	
長順縣	
長頭髮	
長頸瓶	
長頸鹿	
長頸龍	
長風	
長風破浪	
長風萬里	
長駐	
長驅	
長驅直入	
長骨	
長高	
長髮	
長鬍	
長鬚	
長鬚鯨	
長鳴	
長黑	
長點心眼	
長鼓	
長鼻目	
長齋	
長龍	
門人	
門可羅雀	
門堪羅雀	
門庭若市	
門望	
門源回族自治縣	
門牌	
門牌號	
門牌號碼	
門生	
門縫裏看人	
門興格拉德巴赫	
門裏人	
閃了	
閃了一下	
閃人	
閃來閃去	
閃去	
閃擊戰	
閃爍着	
閃着	
閃耀着	
閃電戰	
閃電戰術	
閉區間	
閉塞眼睛捉麻雀	
閉子集	
閉架	
閉着	
閉着眼睛	
閉關自守	
開一家	
開上去	
開下去	
開不了	
開了	
開仗	
開伯爾	
開伯爾山口	
開來開去	
開個	
開元盛世	
開出去	
開列於後	
開區間	
開去	
開味	
開單	
開單子	
開回去	
開國大典	
開國紀念日	
開壞	
開大	
開大油門	
開始實行	
開始菜單	
開學	
開學典禮	
開學日	
開宗大師	
開家	
開小差	
開展	
開展工作	
開展業務	
開山鼻祖	
開工日期	
開庭日	
開張大吉	
開心顏	
開悟	
開懷	
開懷大笑	
開懷暢飲	
開戰	
開戶行	
開房間	
開支範圍	
開放時間	
開明人士	
開春大吉	
開會時間	
開架	
開架式	
開業大吉	
開歲	
開溜	
開爾文	
開牌	
開狀	
開發中國家	
開發人員	
開發國家	
開發銀行	
開盤匯率	
開着	
開罰單	
開羅大學	
開膠	
開行	
開解	
開課日期	
開課時間	
開車人	
開車去	
開進去	
開過去	
開門大吉	
開門辦學	
開間	
開除學籍	
開除黨籍行政開除	
開集	
開雲見日	
開顏	
開顏大笑	
開麥拉	
開齊合撮	
閏日	
閒人	
閒人免進	
閒來無事	
閒着	
閒着沒事	
閒着沒事幹	
閒言長語	
閒話家常	
閒雜	
閒雜人員	
閒雜人等	
間不容息	
間不容緩	
間不容髮	
間作	
間充	
間充質	
間充質幹細胞	
間冰期	
間出	
間別	
間壁	
間奏	
間奏曲	
間或	
間房	
間接	
間接人工	
間接性	
間接成本	
間接推理	
間接材料	
間接稅	
間接經驗	
間接證據	
間接賓語	
間接選舉	
間數	
間斷	
間斷性	
間期	
間歇	
間歇噴泉	
間歇性	
間歇河	
間歇泉	
間歇熱	
間歇訓練	
間深裏	
間的	
間着	
間腦	
間色	
間苗	
間葉幹	
間諜	
間諜活動	
間諜片	
間諜網	
間諜罪	
間諜軟件	
間距	
間道	
間隔	
間隔性	
間隔成	
間隔號	
間隙	
間雜	
間雜着	
閔采爾	
閔行	
閔行區	
閤家	
閤家子	
閤家歡	
閩北人	
閩南人	
閩省	
閩籍人士	
閭尾	
閱世	
閱書架	
閱讀時間	
閱讀理解	
閹人	
閻浮提	
閼氏	
閽人	
闇莫	
闊人	
闊人家	
闊綽	
闌尾	
闌尾切除術	
闌尾炎	
闐池	
闐池	
闔家	
闔家歡	
闖上去	
闖下大禍	
闖世界	
闖來闖去	
闖出去	
闖進去	
闖過去	
關不了	
關乎	
關了	
關人	
關來關去	
關係人	
關係和	
關係着	
關係融洽	
關個	
關停	
關停並轉	
關回去	
關島大學	
關嶺布依族苗族自治縣	
關懷	
關懷備至	
關懷面	
關於	
關於中國	
關於做好	
關於加強	
關於印發	
關於開展	
關東地震	
關死	
關着	
關稅與貿易總協定	
關聯交易	
關進去	
關鍵人物	
關鍵問題	
關鍵在於	
關門大吉	
關防	
關雲長	
阜南	
阜南縣	
阜城	
阜城縣	
阜寧	
阜寧縣	
阜平	
阜平縣	
阜康	
阜康市	
阜成門	
阜新	
阜新市	
阜新蒙古族自治縣	
阜財	
阜陽	
阜陽地區	
阜陽市	
阜陽師範學院	
防上	
防不勝防	
防了	
防人	
防人之口甚於防川	
防人之心	
防人之心不可無	
防來防去	
防修	
防個	
防備	
防僞	
防冷	
防凌	
防凍	
防凍劑	
防到	
防制	
防制法	
防務	
防化兵	
防化救援	
防區	
防喘振	
防地	
防城	
防城區	
防城各族自治縣	
防城港	
防城港市	
防城縣	
防堵	
防塵	
防夾	
防好	
防守	
防守型	
防守戰	
防守戰術	
防守者	
防害	
防寒	
防寒服	
防寫	
防弊	
防彈	
防彈玻璃	
防彈背心	
防彈衣	
防得	
防微杜漸	
防患	
防患於未然	
防患未然	
防戰	
防抖	
防拷	
防控	
防損	
防旱	
防暑	
防暑降溫	
防暴	
防暴警察	
防曬	
防曬油	
防曬霜	
防杜	
防染印花	
防核	
防止	
防毒	
防毒手套	
防毒斗篷	
防毒軟件	
防毒通道	
防毒面具	
防毒靴套	
防民之口甚於防川	
防水	
防水布	
防水材料	
防水紙	
防水錶	
防汛	
防沉迷	
防沙	
防沙林	
防治	
防治工作	
防治效果	
防波堤	
防洪	
防洪堤	
防洪措施	
防溼	
防滑	
防滑鏈	
防潮	
防潮堤	
防潮墊	
防潮法	
防澇	
防火	
防火巷	
防火布	
防火梯	
防火牆	
防火系統	
防火設備	
防火長城	
防災	
防熱	
防爆	
防特	
防疫	
防疫站	
防疫針	
防病	
防病毒	
防癆	
防癆郵票	
防癌	
防的	
防盜	
防盜器	
防盜鈴	
防盜鎖	
防盜門	
防着	
防磁	
防禦	
防禦力	
防禦工事	
防禦性	
防禦戰	
防禦率	
防禦率王	
防禦網	
防禦術	
防秋	
防空	
防空壕	
防空洞	
防空演習	
防空識別區	
防空警報	
防範	
防範得宜	
防範意識	
防範控制	
防範措施	
防範未然	
防範體系	
防線	
防縮	
防老	
防老劑	
防腐	
防腐劑	
防臭	
防臭劑	
防艾	
防蚊液	
防蝕劑	
防衛	
防衛大臣	
防衛廳	
防衛性	
防衛武器	
防衛過當	
防衛部	
防諜	
防護	
防護團	
防護林	
防護眼鏡	
防護罩	
防護面具	
防賊	
防賊法	
防身	
防身器	
防身術	
防軍	
防輻射	
防避	
防部	
防鎖	
防鎖死煞車系統	
防鏽	
防鏽劑	
防鏽油	
防鏽漆	
防長	
防門	
防閒	
防防	
防阻	
防除	
防雨	
防雨布	
防雷	
防震	
防震措施	
防霧	
防靜電	
防風	
防風固沙	
防風林	
防颱	
防黴	
防齲	
阻擊戰	
阻擋不了	
阻攔着	
阻於	
阻止不了	
阻滯	
阻礙交通	
阿不來提阿不都熱西提	
阿丹	
阿亞圖拉	
阿亨	
阿亨工業大學	
阿什克隆	
阿什哈巴德	
阿什拉維	
阿仙藥	
阿伊莎	
阿伏伽德羅	
阿伏伽德羅定律	
阿伏伽德羅常數	
阿伏伽德羅數	
阿伐	
阿伯丁	
阿佛洛狄忒	
阿來	
阿依莎	
阿依達	
阿信	
阿信曲	
阿修羅	
阿修羅道	
阿們	
阿倫	
阿倫達爾	
阿兄	
阿克倫	
阿克倫河	
阿克塞哈薩克族自治縣	
阿克塞縣	
阿克拉	
阿克蘇	
阿克蘇地區	
阿克蘇市	
阿克蘇河	
阿克賽欽	
阿克達	
阿克陶	
阿克陶縣	
阿公店水庫	
阿公阿婆	
阿兵哥	
阿其所好	
阿凡提	
阿凡達	
阿列克西斯	
阿列夫	
阿利坎特	
阿利安	
